yrmo,sell,superid,source,propertytype,propertyzipcode,age,size,popdensity,bbb,caprate,bbbdev,yrqtr,latitude,longitude,reis_sector,region_code,REIS_Market_ID,Submarket_Number,Market_Submarket_ID,effective_rent_per_uom_amt,vacancy_pct
20203,279,292098,cmbs,IN,78219,47,208000,427.2,0.034452736,0.051620314,0.416147391,20201,29.43953359,-98.4387174,Ind,R1,SA,7,SA7,5.24,0.07
20231,313,159392,cmbs,IN,29360,31,1170972,144.7528223,0.058301587,0.0755,0.113061599,20231,34.56454777,-82.01072705,Ind,R2,GN,,,4.9,0.048
201712,252,244432,cmbs,IN,93725,36,265898,147.3,0.037618857,0.054824175,-0.638458738,20174,36.692743,-119.7772974,Ind,R3,FR,,,4.6,0.136
20164,232,38927,cmbs,IN,30168,9,311489,748.5,0.041709072,0.058922319,0.417166469,20162,33.76806081,-84.59135218,Ind,R2,AT,9,AT9,3.38,0.126
200612,120,190408,cmbs,IN,98661,54,27330,1517,0.059779226,0.077016,-0.548528735,20064,45.67673419,-122.6223557,Ind,R3,PO,4,PO4,7.652666667,0.122266667
20197,271,287173,cmbs,IN,30297,22,358360,2477.492254,0.035759152,0.053,-0.263730006,20193,33.62778887,-84.38022452,Ind,R2,AT,2,AT2,3.82,0.115
20185,257,251608,cmbs,IN,43054,13,201810,396.2,0.04526033,0.062521762,-0.328569414,20182,40.09130514,-82.74811386,Ind,R5,,,,6.524444444,0.131
20192,266,294971,cmbs,IN,48071,56,25560,4185.790809,0.045213694,0.062475323,-0.029638638,20191,42.52792002,-83.09159516,Ind,R5,DT,6,DT6,3.97,0.104
20194,268,240500,cmbs,IN,60510,32,194048,1114.595387,0.04212043,0.0594,-0.195897224,20192,41.8637203,-88.28838924,Ind,R5,CH,10,CH10,4.76,0.127
20113,171,126220,cmbs,IN,43228,37,80650,967.7,0.050673989,0.067960321,-0.387405495,20111,39.99985,-83.11463,Ind,R5,CO,2,CO2,2.95,0.155
201510,226,9668,cmbs,IN,75019,16,130250,906,0.043941369,0.061229125,0.228386124,20154,32.95093288,-97.01635838,Ind,R1,DA,3,DA3,4.02,0.085
20247,331,9016234,mountain_seed,IN,22405,26,11717,554.2626816,0.054864319,0.06,-0.511253804,20243,38.38376,-77.44089,Ind,R2,DC,,,10.84133333,0.053533333
20196,270,279157,cmbs,IN,20109,8,148580,706.9,0.038038365,0.0553391,-0.278361684,20192,38.77922192,-77.54286034,Ind,R2,SV,3,SV3,8.83,0.052
20047,91,102448,cmbs,IN,85225,39,60062,2103.7,0.056078604,0.073382563,-0.789721374,20043,33.34922214,-111.8368446,Ind,R3,PX,5,PX5,5.94,0.177111111
20164,232,224997,cmbs,IN,92121,46,114656,131.7,0.041709072,0.059022529,0.417166469,20162,32.90515606,-117.2175751,Ind,R3,SD,2,SD2,7.34,0.09
20068,116,185524,cmbs,IN,10461,57,16250,8143.1,0.06308318,0.080406154,-0.498959036,20063,40.85408664,-73.84202939,Ind,R4,NY,,,9.318090278,0.091760417
20128,188,127318,cmbs,IN,53029,26,91800,215.9,0.039086779,0.056411282,0.351508138,20123,43.08383356,-88.36033612,Ind,R5,MW,,,5.94,0.177111111
201212,192,129340,cmbs,IN,49512,40,462000,263.7,0.036222025,0.05355503,-0.111888325,20124,42.879463,-85.557638,Ind,R5,GD,2,GD2,5.947777778,0.174
201510,226,12922,cmbs,IN,60124,18,100294,191.3,0.043941369,0.061283448,0.228386124,20154,42.0751795,-88.3503958,Ind,R5,CH,10,CH10,4.22,0.125
20175,245,236874,cmbs,IN,1607,8,619669,1019.5,0.037831826,0.0551759,-0.384566852,20172,42.22597333,-71.78889209,Ind,R4,WC,,,6.02,0.088
20164,232,196172,cmbs,IN,27409,20,68960,310.3,0.041709072,0.059054764,0.417166469,20162,36.09280235,-79.97298473,Ind,R2,GR,1,GR1,7.588,0.127866667
